iter	Passed	Remaining
0	1	142
1	1	91
2	2	72
3	2	61
4	2	55
5	3	52
6	3	49
7	4	47
8	4	45
9	4	43
10	5	42
11	5	40
12	5	40
13	6	39
14	6	38
15	7	37
16	7	36
17	7	36
18	9	38
19	9	38
20	9	37
21	13	47
22	13	46
23	14	45
24	14	44
25	15	42
26	15	41
27	15	40
28	16	39
29	16	38
30	16	37
31	17	36
32	17	36
33	18	35
34	18	34
35	18	33
36	19	32
37	19	31
38	19	31
39	20	30
40	20	29
41	20	28
42	21	28
43	21	27
44	21	26
45	22	26
46	22	25
47	23	24
48	23	24
49	23	23
50	24	23
51	24	22
52	25	22
53	30	25
54	30	25
55	31	24
56	31	23
57	31	23
58	32	22
59	32	21
60	33	21
61	33	20
62	33	19
63	34	19
64	34	18
65	34	17
66	35	17
67	35	16
68	35	16
69	36	15
70	36	14
71	37	14
72	37	13
73	37	13
74	38	12
75	38	12
76	38	11
77	39	11
78	39	10
79	40	10
80	40	9
81	41	9
82	41	8
83	42	8
84	42	7
85	43	7
86	43	6
87	44	6
88	44	5
89	44	4
90	45	4
91	45	3
92	45	3
93	46	2
94	46	2
95	46	1
96	47	1
97	47	0
98	48	0
99	48	0
