iter	RMSE
0	14.04177199
1	13.3991154
2	12.56992005
3	11.83655594
4	11.21727933
5	10.59338668
6	10.06585556
7	9.599594876
8	9.185612887
9	8.850844457
10	8.468556173
11	8.195968493
12	7.935329862
13	7.661847106
14	7.47569779
15	7.261115575
16	7.103314993
17	6.930969227
18	6.781750545
19	6.638127578
20	6.518112224
21	6.412630029
22	6.308378947
23	6.238505736
24	6.159794648
25	6.091902948
26	6.021489978
27	5.968427826
28	5.918259282
29	5.858981635
30	5.819425544
31	5.772964773
32	5.732801877
33	5.703785201
34	5.665162087
35	5.631516877
36	5.607405766
37	5.586643849
38	5.565057902
39	5.544416958
40	5.526487591
41	5.510254067
42	5.486105125
43	5.472911141
44	5.44783351
45	5.432586906
46	5.422574417
47	5.406658299
48	5.395809172
49	5.379568514
50	5.363766669
51	5.352323684
52	5.343172981
53	5.333011255
54	5.319990319
55	5.305827854
56	5.296443955
57	5.285665272
58	5.278301183
59	5.270905857
60	5.264772293
61	5.253358351
62	5.247793836
63	5.241900179
64	5.235657441
65	5.227005693
66	5.222016899
67	5.215822081
68	5.204346765
69	5.197944344
70	5.194482361
71	5.191274371
72	5.184759306
73	5.177811253
74	5.170409036
75	5.160272771
76	5.156291887
77	5.149975998
78	5.144118911
79	5.136954403
80	5.132858323
81	5.121325716
82	5.117664341
83	5.114292356
84	5.10944032
85	5.104976154
86	5.10221822
87	5.097805903
88	5.084809166
89	5.082393231
90	5.08168141
91	5.072846603
92	5.069196093
93	5.067011224
94	5.059716606
95	5.054370975
96	5.048660962
97	5.046348967
98	5.041520527
99	5.034846204
