iter	Passed	Remaining
0	10	10220
1	10	5387
2	11	3766
3	11	2953
4	20	4081
5	21	3488
6	21	3067
7	22	2747
8	22	2497
9	23	2297
10	30	2749
11	31	2564
12	31	2404
13	32	2268
14	32	2150
15	39	2453
16	40	2338
17	40	2236
18	41	2144
19	42	2060
20	49	2290
21	49	2207
22	50	2132
23	50	2062
24	51	2026
25	58	2204
26	59	2140
27	59	2081
28	60	2025
29	61	1973
30	68	2130
31	68	2078
32	69	2028
33	69	1982
34	70	1938
35	77	2068
36	77	2025
37	78	1983
38	78	1944
39	79	1907
40	86	2024
41	87	1985
42	87	1949
43	88	1914
44	88	1880
45	89	1848
46	96	1955
47	97	1923
48	97	1893
49	98	1863
50	98	1834
51	100	1838
52	101	1810
53	101	1782
54	102	1756
55	102	1730
56	103	1704
57	103	1679
58	103	1656
59	104	1634
60	104	1612
61	105	1590
62	105	1569
63	105	1549
64	106	1529
65	106	1510
66	107	1491
67	107	1472
68	107	1455
69	108	1437
70	109	1435
71	110	1419
72	110	1403
73	110	1387
74	111	1372
75	111	1357
76	111	1342
77	112	1328
78	112	1314
79	113	1300
80	113	1287
81	113	1274
82	113	1259
83	114	1247
84	114	1235
85	115	1223
86	115	1212
87	115	1200
88	116	1189
89	116	1179
90	116	1168
91	117	1158
92	117	1147
93	118	1139
94	118	1129
95	118	1120
96	119	1111
97	119	1102
98	120	1092
99	120	1084
100	120	1075
101	121	1066
102	121	1058
103	121	1049
104	122	1041
105	122	1033
106	122	1025
107	123	1017
108	123	1009
109	125	1012
110	125	1005
111	125	997
112	126	990
113	126	983
114	126	976
115	127	969
116	127	962
117	127	956
118	128	949
119	128	943
120	129	937
121	129	930
122	129	924
123	130	918
124	130	912
125	130	907
126	131	900
127	131	895
128	131	890
129	132	884
130	132	879
131	132	873
132	133	869
133	133	864
134	134	859
135	134	854
136	134	849
137	135	844
138	135	839
139	135	834
140	136	830
141	136	824
142	136	820
143	137	815
144	137	810
145	137	806
146	138	801
147	138	797
148	139	795
149	139	791
150	140	787
151	140	783
152	140	779
153	141	775
154	141	771
155	141	767
156	142	763
157	142	760
158	142	756
159	143	752
160	143	748
161	143	744
162	144	741
163	144	737
164	145	734
165	145	730
166	145	727
167	146	723
168	146	720
169	146	717
170	147	713
171	147	711
172	148	707
173	148	704
174	148	701
175	149	698
176	149	694
177	149	691
178	150	688
179	150	685
180	150	682
181	151	679
182	151	676
183	151	673
184	152	670
185	152	667
186	152	664
187	153	661
188	154	664
189	155	661
190	155	658
191	155	655
192	156	653
193	156	650
194	156	647
195	157	645
196	158	644
197	158	643
198	159	642
199	160	640
200	160	639
201	161	638
202	162	637
203	163	637
204	163	635
205	164	634
206	164	631
207	165	629
208	167	632
209	168	632
210	171	640
211	172	639
212	172	638
213	173	637
214	174	636
215	174	634
216	175	634
217	176	633
218	177	631
219	177	630
220	178	629
221	179	628
222	181	631
223	182	631
224	183	630
225	183	629
226	184	628
227	185	627
228	186	626
229	186	625
230	187	624
231	188	622
232	188	621
233	189	620
234	190	619
235	190	618
236	191	617
237	192	615
238	193	614
239	193	613
240	194	612
241	195	610
242	196	613
243	197	611
244	197	610
245	198	608
246	198	606
247	199	604
248	199	602
249	200	600
250	200	598
251	201	597
252	201	595
253	202	593
254	202	591
255	202	589
256	203	587
257	203	585
258	204	583
259	204	581
260	205	580
261	205	578
262	205	576
263	206	574
264	206	572
265	206	570
266	207	568
267	207	566
268	207	564
269	208	563
270	208	561
271	208	559
272	209	557
273	209	555
274	210	554
275	210	552
276	211	552
277	212	551
278	212	549
279	213	548
280	213	546
281	213	544
282	214	542
283	214	540
284	214	539
285	215	537
286	215	535
287	215	533
288	216	532
289	216	530
290	217	528
291	217	527
292	217	525
293	218	523
294	218	522
295	218	520
296	219	519
297	219	517
298	219	515
299	220	514
300	220	512
301	221	510
302	221	509
303	221	507
304	222	506
305	222	504
306	222	502
307	223	501
308	223	499
309	223	498
310	224	496
311	224	494
312	224	493
313	225	491
314	225	490
315	225	488
316	226	487
317	226	486
318	227	485
319	227	484
320	228	482
321	228	481
322	228	479
323	229	478
324	229	477
325	230	475
326	230	474
327	230	472
328	231	471
329	231	470
330	231	468
331	232	467
332	232	465
333	232	464
334	233	463
335	233	462
336	234	460
337	234	459
338	236	460
339	236	459
340	236	457
